Artist,Recommendations
de la soul,a tribe called quest: 0.3139|gang starr: 0.255|the roots: 0.2302|common: 0.2059|nas: 0.1974|mos def: 0.1886|talib kweli: 0.1853|jurassic 5: 0.1779|j dilla: 0.165|ghostface: 0.1647
de-phazz,st. germain: 0.2848|tosca: 0.2605|thievery corporation: 0.2492|koop: 0.2075|jazzanova: 0.2026|nightmares on wax: 0.1906|bonobo: 0.179|parov stelar: 0.1707|groove armada: 0.1514|massive attack: 0.147
dead can dance,cocteau twins: 0.1354|siouxsie and the banshees: 0.1137|the sisters of mercy: 0.1136|nick cave and the bad seeds: 0.1037|depeche mode: 0.0988|the gathering: 0.0945|tiamat: 0.0902|portishead: 0.0899|ulver: 0.0879|pink floyd: 0.0856
dead kennedys,misfits: 0.2181|black flag: 0.1984|the clash: 0.1842|ramones: 0.1735|bad brains: 0.173|minor threat: 0.155|descendents: 0.1543|rancid: 0.1442|nofx: 0.1287|bad religion: 0.1143
death,carcass: 0.3394|testament: 0.305|morbid angel: 0.2954|kreator: 0.2765|slayer: 0.2759|nile: 0.2744|cannibal corpse: 0.2735|sodom: 0.2326|megadeth: 0.2317|opeth: 0.2308
death cab for cutie,the shins: 0.3075|the postal service: 0.2907|sufjan stevens: 0.2665|bright eyes: 0.2657|modest mouse: 0.2655|coldplay: 0.2578|the decemberists: 0.2577|radiohead: 0.2479|bloc party: 0.2358|broken social scene: 0.2352
death from above 1979,the rapture: 0.1361|justice: 0.1353|bloc party: 0.1293|klaxons: 0.1289|ratatat: 0.1267|the blood brothers: 0.1161|crystal castles: 0.1146|kings of leon: 0.1143|tokyo police club: 0.1082|queens of the stone age: 0.1074
deathstars,the 69 eyes: 0.1821|children of bodom: 0.1424|korpiklaani: 0.1378|ensiferum: 0.1366|sentenced: 0.1288|oomph!: 0.1253|nightwish: 0.1249|pain: 0.1238|in flames: 0.1221|marilyn manson: 0.1179
deep purple,led zeppelin: 0.2337|black sabbath: 0.2224|ac/dc: 0.2162|judas priest: 0.2093|rainbow: 0.2055|iron maiden: 0.2036|kiss: 0.1967|scorpions: 0.1861|van halen: 0.1836|pink floyd: 0.1804
deerhoof,animal collective: 0.1813|deerhunter: 0.1461|sonic youth: 0.1437|stereolab: 0.1423|pavement: 0.1371|fugazi: 0.1207|battles: 0.1195|the flaming lips: 0.1182|beck: 0.1182|my bloody valentine: 0.1127
deerhunter,animal collective: 0.2255|grizzly bear: 0.1849|sonic youth: 0.1546|tv on the radio: 0.1535|pavement: 0.1493|deerhoof: 0.144|broken social scene: 0.1406|fleet foxes: 0.1248|of montreal: 0.1205|battles: 0.1167
def leppard,van halen: 0.2353|skid row: 0.2103|mötley crüe: 0.2045|bon jovi: 0.2037|scorpions: 0.1749|kiss: 0.1637|aerosmith: 0.1566|ozzy osbourne: 0.1434|alice cooper: 0.1433|ac/dc: 0.136
deftones,a perfect circle: 0.2233|tool: 0.2212|koЯn: 0.1982|incubus: 0.1822|nine inch nails: 0.1784|queens of the stone age: 0.165|rage against the machine: 0.163|mudvayne: 0.1609|the smashing pumpkins: 0.1546|slipknot: 0.146
deichkind,clueso: 0.2064|die Ärzte: 0.1914|beatsteaks: 0.1778|seeed: 0.1724|peter fox: 0.1703|mando diao: 0.159|die toten hosen: 0.1333|farin urlaub: 0.122|digitalism: 0.101|the subways: 0.0988
delerium,chicane: 0.1871|enigma: 0.1764|paul oakenfold: 0.1648|atb: 0.1592|blank & jones: 0.1533|armin van buuren: 0.1481|above & beyond: 0.1463|ferry corsten: 0.1432|paul van dyk: 0.1369|tiësto: 0.1105
depeche mode,the cure: 0.2491|pet shop boys: 0.1861|placebo: 0.1829|u2: 0.1823|new order: 0.174|radiohead: 0.1724|massive attack: 0.1701|coldplay: 0.1687|nine inch nails: 0.1666|david bowie: 0.1656
descendents,the bouncing souls: 0.2699|black flag: 0.2326|minor threat: 0.1999|misfits: 0.1918|bad brains: 0.1913|nofx: 0.188|the get up kids: 0.1743|saves the day: 0.168|against me!: 0.1677|alkaline trio: 0.1646
dethklok,death: 0.1263|megadeth: 0.1222|nile: 0.1166|children of bodom: 0.1136|pantera: 0.1073|cannibal corpse: 0.106|arch enemy: 0.0969|in flames: 0.096|amon amarth: 0.095|ensiferum: 0.0941
deus,editors: 0.1075|the last shadow puppets: 0.1069|eels: 0.1049|the raconteurs: 0.1037|radiohead: 0.1017|the national: 0.0861|the cure: 0.0849|elbow: 0.0844|interpol: 0.0831|the smashing pumpkins: 0.082
devendra banhart,animal collective: 0.2351|joanna newsom: 0.2193|sufjan stevens: 0.2012|andrew bird: 0.2003|cocorosie: 0.1968|cat power: 0.1835|iron & wine: 0.1823|bonnie prince billy: 0.1809|beirut: 0.1793|elliott smith: 0.1711
devildriver,chimaira: 0.2436|lamb of god: 0.2428|slipknot: 0.1941|machine head: 0.1935|trivium: 0.1862|heaven shall burn: 0.1749|arch enemy: 0.173|soulfly: 0.1681|in flames: 0.1637|killswitch engage: 0.1629
devo,talking heads: 0.1633|pixies: 0.1362|sonic youth: 0.1319|the clash: 0.1198|joy division: 0.1033|the fall: 0.0982|david bowie: 0.0979|buzzcocks: 0.0968|the cure: 0.0933|dead kennedys: 0.0932
diana krall,norah jones: 0.1861|ella fitzgerald: 0.1527|jamie cullum: 0.1436|sting: 0.1272|katie melua: 0.1216|nina simone: 0.1193|louis armstrong: 0.1149|chet baker: 0.1107|michael bublé: 0.11|billie holiday: 0.1096
dido,alanis morissette: 0.1596|madonna: 0.155|coldplay: 0.1436|enya: 0.1405|katie melua: 0.138|the cranberries: 0.1353|james blunt: 0.1331|kt tunstall: 0.13|avril lavigne: 0.1274|sarah mclachlan: 0.1273
die apokalyptischen reiter,equilibrium: 0.2901|subway to sally: 0.2354|in extremo: 0.22|ensiferum: 0.2038|korpiklaani: 0.203|schandmaul: 0.1772|amon amarth: 0.1745|eluveitie: 0.1732|turisas: 0.1505|finntroll: 0.1387
die toten hosen,die Ärzte: 0.4013|farin urlaub: 0.2715|böhse onkelz: 0.2363|beatsteaks: 0.2095|subway to sally: 0.1795|peter fox: 0.1757|in extremo: 0.1498|rammstein: 0.1344|deichkind: 0.1321|billy talent: 0.1274
die Ärzte,die toten hosen: 0.3982|farin urlaub: 0.3503|beatsteaks: 0.2744|böhse onkelz: 0.224|subway to sally: 0.2002|clueso: 0.1932|deichkind: 0.1882|seeed: 0.1775|peter fox: 0.177|billy talent: 0.174
digitalism,justice: 0.3187|boys noize: 0.2733|daft punk: 0.2209|crystal castles: 0.2202|simian mobile disco: 0.2144|klaxons: 0.19|hot chip: 0.1859|cut copy: 0.1764|mgmt: 0.1693|the presets: 0.1667
dimmu borgir,satyricon: 0.2691|cradle of filth: 0.2688|immortal: 0.2522|children of bodom: 0.2501|amon amarth: 0.2483|behemoth: 0.2327|arch enemy: 0.2326|dark tranquillity: 0.2287|in flames: 0.2212|finntroll: 0.1931
dinosaur jr.,sonic youth: 0.2196|pavement: 0.1788|pixies: 0.1701|guided by voices: 0.1505|my bloody valentine: 0.1289|fugazi: 0.1236|the smiths: 0.1221|the fall: 0.1201|the jesus and mary chain: 0.1111|built to spill: 0.1017
dio,judas priest: 0.2948|rainbow: 0.2694|black sabbath: 0.2257|manowar: 0.2058|iron maiden: 0.1952|ozzy osbourne: 0.1763|megadeth: 0.1736|deep purple: 0.1587|black label society: 0.1558|van halen: 0.1557
dir en grey,mindless self indulgence: 0.0897|slipknot: 0.0787|nightwish: 0.0655|rammstein: 0.0647|mudvayne: 0.0643|linkin park: 0.0635|muse: 0.0615|silverstein: 0.0594|placebo: 0.0592|disturbed: 0.0589
dire straits,eric clapton: 0.2237|pink floyd: 0.1919|creedence clearwater revival: 0.1847|queen: 0.1681|bruce springsteen: 0.1628|eagles: 0.1484|deep purple: 0.1421|u2: 0.1411|the rolling stones: 0.1389|genesis: 0.1362
dirty pretty things,babyshambles: 0.272|the libertines: 0.2343|the pigeon detectives: 0.2195|the cribs: 0.2128|maxïmo park: 0.2105|razorlight: 0.1867|the kooks: 0.1815|arctic monkeys: 0.1681|the strokes: 0.16|kasabian: 0.1556
disturbed,koЯn: 0.2685|godsmack: 0.2628|slipknot: 0.2584|papa roach: 0.2537|system of a down: 0.2536|breaking benjamin: 0.2304|bullet for my valentine: 0.2293|metallica: 0.2204|drowning pool: 0.2192|linkin park: 0.2135
dizzee rascal,the streets: 0.1888|roots manuva: 0.1289|burial: 0.1023|high contrast: 0.1019|dr. dre: 0.0993|nas: 0.0939|m.i.a.: 0.0911|snoop dogg: 0.089|mobb deep: 0.0872|calvin harris: 0.0859
dj krush,dj shadow: 0.2558|amon tobin: 0.2094|the herbaliser: 0.2035|bonobo: 0.1823|massive attack: 0.1394|rjd2: 0.135|the cinematic orchestra: 0.1345|thievery corporation: 0.1332|prefuse 73: 0.1278|unkle: 0.1247
dj shadow,dj krush: 0.2455|rjd2: 0.2402|bonobo: 0.1803|amon tobin: 0.1677|massive attack: 0.1639|boards of canada: 0.1618|unkle: 0.1547|nightmares on wax: 0.1491|groove armada: 0.1403|the herbaliser: 0.1402
django reinhardt,charlie parker: 0.1277|miles davis: 0.1213|billie holiday: 0.1114|nina simone: 0.1065|ella fitzgerald: 0.1061|frédéric chopin: 0.0873|louis armstrong: 0.0823|bob dylan: 0.0783|tom waits: 0.0766|john coltrane: 0.0762
dmx,snoop dogg: 0.2541|the game: 0.2529|2pac: 0.2517|dr. dre: 0.2104|notorious b.i.g.: 0.2071|t.i.: 0.1996|ludacris: 0.1922|busta rhymes: 0.1917|nas: 0.1914|eminem: 0.1909
dope,static-x: 0.2169|drowning pool: 0.2139|disturbed: 0.1991|adema: 0.1836|slipknot: 0.1781|godsmack: 0.1758|mudvayne: 0.1751|koЯn: 0.1434|rob zombie: 0.1412|ill niño: 0.1399
doves,elbow: 0.1565|radiohead: 0.1281|supergrass: 0.1063|kasabian: 0.105|blur: 0.1034|oasis: 0.0934|stereophonics: 0.0916|the strokes: 0.0902|arcade fire: 0.0885|interpol: 0.0879
down,black label society: 0.2212|pantera: 0.1863|kyuss: 0.1747|testament: 0.1461|mastodon: 0.1328|slayer: 0.1319|carcass: 0.121|isis: 0.1127|alice in chains: 0.1117|black sabbath: 0.1091
dr. dre,notorious b.i.g.: 0.322|snoop dogg: 0.3196|nas: 0.2717|2pac: 0.2672|the game: 0.2494|ice cube: 0.23|jay-z: 0.226|dmx: 0.212|eminem: 0.2058|50 cent: 0.1864
dragonforce,sonata arctica: 0.2184|hammerfall: 0.1863|nightwish: 0.1719|rhapsody of fire: 0.1616|kamelot: 0.1585|metallica: 0.1437|gamma ray: 0.1412|iron maiden: 0.1386|stratovarius: 0.1359|avantasia: 0.1308
dream theater,symphony x: 0.2539|ayreon: 0.2359|opeth: 0.2298|metallica: 0.2194|pain of salvation: 0.2162|porcupine tree: 0.2015|iron maiden: 0.1927|rush: 0.1908|kamelot: 0.1889|queensrÿche: 0.1832
dredg,a perfect circle: 0.1561|the mars volta: 0.1561|tool: 0.1493|porcupine tree: 0.1245|blackfield: 0.1188|coheed and cambria: 0.1183|deftones: 0.1116|incubus: 0.1067|isis: 0.1049|muse: 0.1032
dropkick murphys,flogging molly: 0.2755|rancid: 0.2294|anti-flag: 0.1799|millencolin: 0.1652|social distortion: 0.1637|nofx: 0.1606|misfits: 0.1426|less than jake: 0.1424|the bouncing souls: 0.141|rise against: 0.1248
drowning pool,godsmack: 0.2298|disturbed: 0.2154|dope: 0.2085|mudvayne: 0.203|static-x: 0.1777|adema: 0.1765|koЯn: 0.1668|ill niño: 0.1623|limp bizkit: 0.1617|slipknot: 0.1604
duffy,adele: 0.2069|amy winehouse: 0.1983|rihanna: 0.1532|kylie minogue: 0.1529|sugababes: 0.1444|leona lewis: 0.1437|beyoncé: 0.1413|katy perry: 0.1378|amy macdonald: 0.1353|madonna: 0.1351
duran duran,pet shop boys: 0.179|depeche mode: 0.1637|a-ha: 0.1567|inxs: 0.1429|new order: 0.1284|the cure: 0.1208|madonna: 0.1199|kraftwerk: 0.0995|u2: 0.0987|prince: 0.0927
eagles,elton john: 0.1557|eric clapton: 0.155|dire straits: 0.151|fleetwood mac: 0.1422|bruce springsteen: 0.139|supertramp: 0.1384|lynyrd skynyrd: 0.1299|creedence clearwater revival: 0.1216|queen: 0.1158|the rolling stones: 0.114
eagles of death metal,queens of the stone age: 0.2207|kyuss: 0.1816|foo fighters: 0.1121|the white stripes: 0.1053|the hives: 0.0889|kings of leon: 0.0882|the vines: 0.0825|the black keys: 0.0816|nine inch nails: 0.0798|black rebel motorcycle club: 0.0792
echo & the bunnymen,siouxsie and the banshees: 0.1498|the smiths: 0.1468|the jesus and mary chain: 0.1349|new order: 0.122|bauhaus: 0.1176|joy division: 0.1155|david bowie: 0.111|the cure: 0.1062|morrissey: 0.1054|the stone roses: 0.0965
eddie vedder,pearl jam: 0.1246|coldplay: 0.1077|radiohead: 0.0958|cat power: 0.092|beirut: 0.0888|pink floyd: 0.0835|ben harper: 0.0822|johnny cash: 0.0789|the beatles: 0.0779|bob dylan: 0.0769
edguy,avantasia: 0.3789|helloween: 0.2963|gamma ray: 0.295|sonata arctica: 0.2532|hammerfall: 0.2488|kamelot: 0.2296|stratovarius: 0.2234|manowar: 0.2086|blind guardian: 0.206|angra: 0.2058
editors,interpol: 0.2668|bloc party: 0.2346|maxïmo park: 0.2164|the killers: 0.2016|kaiser chiefs: 0.1968|arctic monkeys: 0.1943|the kooks: 0.1783|the strokes: 0.1718|kings of leon: 0.1703|kasabian: 0.1617
eels,radiohead: 0.1616|beck: 0.1319|bright eyes: 0.1284|arcade fire: 0.1228|the beatles: 0.1224|the flaming lips: 0.1154|belle and sebastian: 0.1129|sufjan stevens: 0.1104|pixies: 0.1067|deus: 0.1046
einstürzende neubauten,nick cave and the bad seeds: 0.1653|skinny puppy: 0.1355|ministry: 0.1094|joy division: 0.1091|siouxsie and the banshees: 0.1024|tom waits: 0.1002|nine inch nails: 0.0956|depeche mode: 0.0946|the cure: 0.0927|kraftwerk: 0.0918
elbow,doves: 0.16|radiohead: 0.131|editors: 0.1176|arcade fire: 0.1068|the national: 0.1068|bloc party: 0.1009|sigur rós: 0.0989|kings of leon: 0.0967|the verve: 0.0925|coldplay: 0.0915
electric light orchestra,elton john: 0.1483|supertramp: 0.1475|queen: 0.1457|billy joel: 0.1242|fleetwood mac: 0.1077|john lennon: 0.0998|pink floyd: 0.0996|the beatles: 0.0987|the who: 0.0981|the rolling stones: 0.095
electric six,the white stripes: 0.0841|franz ferdinand: 0.0664|muse: 0.0657|nine inch nails: 0.0647|rammstein: 0.0626|marilyn manson: 0.0626|queens of the stone age: 0.0596|radiohead: 0.0567|the chemical brothers: 0.0558|gorillaz: 0.0552
ella fitzgerald,billie holiday: 0.2514|nina simone: 0.2103|louis armstrong: 0.2071|frank sinatra: 0.1564|diana krall: 0.1464|miles davis: 0.129|aretha franklin: 0.1223|chet baker: 0.1205|django reinhardt: 0.1048|ray charles: 0.1019
elliott smith,sufjan stevens: 0.2521|modest mouse: 0.2325|the shins: 0.2324|bright eyes: 0.2184|belle and sebastian: 0.2136|iron & wine: 0.2081|radiohead: 0.2043|death cab for cutie: 0.1946|andrew bird: 0.1838|nick drake: 0.1829
elton john,billy joel: 0.2238|queen: 0.1782|eagles: 0.1509|fleetwood mac: 0.15|abba: 0.1499|simon & garfunkel: 0.1475|electric light orchestra: 0.1451|the beatles: 0.1383|u2: 0.1282|phil collins: 0.1259
eluveitie,equilibrium: 0.3723|turisas: 0.3212|korpiklaani: 0.3078|ensiferum: 0.2994|finntroll: 0.2947|amon amarth: 0.2427|die apokalyptischen reiter: 0.1747|norther: 0.1715|blind guardian: 0.1604|epica: 0.1565
elvis costello,talking heads: 0.1424|the beatles: 0.1223|the clash: 0.1209|elliott smith: 0.1115|tom waits: 0.1082|bruce springsteen: 0.1082|david bowie: 0.1067|bob dylan: 0.106|the who: 0.1044|pavement: 0.1027
elvis presley,the beatles: 0.1758|the rolling stones: 0.1702|frank sinatra: 0.1541|queen: 0.1467|johnny cash: 0.1427|bob dylan: 0.1364|the beach boys: 0.1354|creedence clearwater revival: 0.1206|the doors: 0.1206|ac/dc: 0.1193
emery,underoath: 0.2516|chiodos: 0.1971|anberlin: 0.1937|saosin: 0.1916|silverstein: 0.1744|senses fail: 0.1579|funeral for a friend: 0.1555|taking back sunday: 0.1487|from first to last: 0.1446|thrice: 0.1371
emilie autumn,tarja turunen: 0.1279|marilyn manson: 0.1199|epica: 0.1125|the birthday massacre: 0.1052|tristania: 0.0998|nightwish: 0.0994|sirenia: 0.0945|lacuna coil: 0.094|the gathering: 0.0907|evanescence: 0.0896
emilie simon,björk: 0.1073|nouvelle vague: 0.102|sia: 0.0868|lamb: 0.0865|róisín murphy: 0.0847|regina spektor: 0.0844|goldfrapp: 0.0837|air: 0.0807|radiohead: 0.0752|hooverphonic: 0.0751
emilíana torrini,sia: 0.1087|portishead: 0.0871|zero 7: 0.0862|antony and the johnsons: 0.0777|regina spektor: 0.0727|radiohead: 0.0714|emilie simon: 0.0712|röyksopp: 0.0706|björk: 0.0702|damien rice: 0.0688
eminem,50 cent: 0.2734|2pac: 0.221|the game: 0.2143|akon: 0.2139|dr. dre: 0.2028|snoop dogg: 0.2025|kanye west: 0.1989|jay-z: 0.1938|dmx: 0.1895|linkin park: 0.1887
enigma,delerium: 0.176|vangelis: 0.1476|enya: 0.1396|era: 0.1338|mike oldfield: 0.1322|moby: 0.1231|madonna: 0.1115|massive attack: 0.1089|faithless: 0.0977|loreena mckennitt: 0.097
ennio morricone,john williams: 0.1203|hans zimmer: 0.0958|vangelis: 0.0847|django reinhardt: 0.0762|the beatles: 0.0739|thomas newman: 0.0726|simon & garfunkel: 0.0707|johnny cash: 0.0699|queen: 0.0689|tom waits: 0.0674
enrique iglesias,rihanna: 0.1711|britney spears: 0.1531|leona lewis: 0.1519|shakira: 0.1339|avril lavigne: 0.1321|nelly furtado: 0.1294|backstreet boys: 0.1231|madonna: 0.122|timbaland: 0.122|lady gaga: 0.1215
ensiferum,equilibrium: 0.3527|finntroll: 0.3519|korpiklaani: 0.3108|eluveitie: 0.2966|turisas: 0.287|amon amarth: 0.2839|children of bodom: 0.2403|norther: 0.2212|dark tranquillity: 0.2056|die apokalyptischen reiter: 0.2036
enter shikari,bring me the horizon: 0.2172|funeral for a friend: 0.2028|alexisonfire: 0.2019|alesana: 0.195|underoath: 0.1769|chiodos: 0.1729|a day to remember: 0.1666|atreyu: 0.1645|escape the fate: 0.1633|saosin: 0.1603
enya,loreena mckennitt: 0.1725|era: 0.1456|dido: 0.1454|howard shore: 0.1403|enigma: 0.1383|mike oldfield: 0.1351|abba: 0.1327|vangelis: 0.1276|sarah mclachlan: 0.127|céline dion: 0.1222
epica,after forever: 0.3778|sirenia: 0.3051|nightwish: 0.2809|tarja turunen: 0.2676|tristania: 0.2638|lacuna coil: 0.2464|kamelot: 0.2209|therion: 0.1901|sonata arctica: 0.1901|haggard: 0.1887
equilibrium,eluveitie: 0.3748|ensiferum: 0.3585|die apokalyptischen reiter: 0.2946|turisas: 0.2651|korpiklaani: 0.2459|finntroll: 0.2303|amon amarth: 0.2171|subway to sally: 0.1761|children of bodom: 0.1626|sabaton: 0.1567
era,enya: 0.1461|enigma: 0.1331|delerium: 0.1033|epica: 0.1029|loreena mckennitt: 0.0937|nightwish: 0.0935|apocalyptica: 0.0793|t.a.t.u.: 0.0767|vangelis: 0.0749|mike oldfield: 0.0733
eric clapton,dire straits: 0.2243|cream: 0.2004|the rolling stones: 0.1981|jimi hendrix: 0.1824|led zeppelin: 0.1712|the who: 0.1625|creedence clearwater revival: 0.1603|ac/dc: 0.158|pink floyd: 0.1545|the beatles: 0.1533
erykah badu,the roots: 0.1921|common: 0.1793|mary j. blige: 0.1617|stevie wonder: 0.1406|j dilla: 0.1391|john legend: 0.1391|alicia keys: 0.1334|amy winehouse: 0.1312|outkast: 0.131|mos def: 0.125
escape the fate,alesana: 0.3151|silverstein: 0.3014|senses fail: 0.225|the used: 0.2114|story of the year: 0.1969|a day to remember: 0.1837|from first to last: 0.1808|atreyu: 0.1727|underoath: 0.1692|from autumn to ashes: 0.166
evanescence,linkin park: 0.2549|nightwish: 0.2363|avril lavigne: 0.2344|lacuna coil: 0.1893|nickelback: 0.1875|my chemical romance: 0.1838|within temptation: 0.1647|pink: 0.1612|rammstein: 0.1611|kelly clarkson: 0.158
explosions in the sky,mogwai: 0.2789|god is an astronaut: 0.2346|sigur rós: 0.2325|godspeed you! black emperor: 0.2172|the album leaf: 0.2038|65daysofstatic: 0.198|mono: 0.1838|death cab for cutie: 0.1641|radiohead: 0.1627|m83: 0.1592
faith no more,alice in chains: 0.1604|soundgarden: 0.1496|primus: 0.1351|nine inch nails: 0.1337|tool: 0.1321|pearl jam: 0.1311|queens of the stone age: 0.1257|metallica: 0.1171|stone temple pilots: 0.1128|mastodon: 0.1108
faithless,groove armada: 0.2162|moby: 0.2116|the chemical brothers: 0.2036|fatboy slim: 0.1782|massive attack: 0.1772|the prodigy: 0.1745|chicane: 0.1681|röyksopp: 0.1676|paul van dyk: 0.1595|underworld: 0.1442
fall out boy,panic at the disco: 0.3027|my chemical romance: 0.2868|the all-american rejects: 0.2765|paramore: 0.2451|blink-182: 0.2379|jimmy eat world: 0.2369|taking back sunday: 0.225|motion city soundtrack: 0.216|boys like girls: 0.2107|the academy is...: 0.2082
farin urlaub,die Ärzte: 0.3477|die toten hosen: 0.2675|beatsteaks: 0.2212|peter fox: 0.1693|seeed: 0.1538|subway to sally: 0.1453|böhse onkelz: 0.1389|clueso: 0.1217|deichkind: 0.1191|in extremo: 0.1146
fatboy slim,the chemical brothers: 0.2564|moby: 0.1972|groove armada: 0.1956|the prodigy: 0.1847|basement jaxx: 0.1826|faithless: 0.1779|daft punk: 0.1727|gorillaz: 0.1645|the crystal method: 0.1447|jamiroquai: 0.1418
fear factory,machine head: 0.2528|soulfly: 0.2167|chimaira: 0.1797|static-x: 0.177|slayer: 0.1618|devildriver: 0.1553|koЯn: 0.1549|arch enemy: 0.1508|lamb of god: 0.1485|pantera: 0.1429
feeder,stereophonics: 0.1607|snow patrol: 0.1306|biffy clyro: 0.1212|razorlight: 0.1158|oasis: 0.1109|foo fighters: 0.1103|the killers: 0.1022|lostprophets: 0.0966|the pigeon detectives: 0.0931|coldplay: 0.0907
feist,cat power: 0.2208|sufjan stevens: 0.2208|kings of convenience: 0.2076|the shins: 0.1992|broken social scene: 0.1914|regina spektor: 0.1896|belle and sebastian: 0.1889|stars: 0.1871|radiohead: 0.1855|beirut: 0.1796
fergie,gwen stefani: 0.2517|rihanna: 0.2491|nelly furtado: 0.2235|the pussycat dolls: 0.2207|justin timberlake: 0.1946|beyoncé: 0.1937|chris brown: 0.1659|ne-yo: 0.1646|avril lavigne: 0.1634|britney spears: 0.163
ferry corsten,armin van buuren: 0.4466|above & beyond: 0.4331|paul van dyk: 0.3286|tiësto: 0.3047|atb: 0.3044|blank & jones: 0.2954|chicane: 0.2697|paul oakenfold: 0.2085|delerium: 0.1459|the prodigy: 0.1052
final fantasy,andrew bird: 0.1662|sufjan stevens: 0.1611|beirut: 0.1528|architecture in helsinki: 0.1491|patrick wolf: 0.1473|broken social scene: 0.1462|joanna newsom: 0.1376|stars: 0.1339|of montreal: 0.1315|grizzly bear: 0.1233
finch,funeral for a friend: 0.2206|thrice: 0.1724|senses fail: 0.172|the used: 0.1631|taking back sunday: 0.1533|atreyu: 0.1423|jimmy eat world: 0.1371|brand new: 0.1347|story of the year: 0.1345|underoath: 0.1343
finntroll,korpiklaani: 0.3592|ensiferum: 0.3503|turisas: 0.3253|eluveitie: 0.2906|amon amarth: 0.2529|children of bodom: 0.2383|equilibrium: 0.2256|arch enemy: 0.1986|dimmu borgir: 0.1958|in extremo: 0.1844
fiona apple,regina spektor: 0.1714|tori amos: 0.1418|aimee mann: 0.1413|ani difranco: 0.14|feist: 0.1393|björk: 0.1256|cat power: 0.1252|pj harvey: 0.1167|sarah mclachlan: 0.1163|sufjan stevens: 0.113
fischerspooner,ladytron: 0.1878|daft punk: 0.139|lcd soundsystem: 0.134|digitalism: 0.1294|goldfrapp: 0.1265|the knife: 0.1225|röyksopp: 0.1175|simian mobile disco: 0.1108|justice: 0.1093|air: 0.1072
fleet foxes,bon iver: 0.2853|animal collective: 0.2053|vampire weekend: 0.1925|grizzly bear: 0.1868|beirut: 0.1839|arcade fire: 0.172|iron & wine: 0.1704|andrew bird: 0.1661|radiohead: 0.1609|the national: 0.1597
fleetwood mac,supertramp: 0.1572|elton john: 0.1514|the rolling stones: 0.1452|neil young: 0.1412|eagles: 0.1392|the beatles: 0.1299|simon & garfunkel: 0.1274|eric clapton: 0.1245|dire straits: 0.1224|bruce springsteen: 0.1177
flight of the conchords,girl talk: 0.105|vampire weekend: 0.0931|the beatles: 0.0876|of montreal: 0.0822|radiohead: 0.0805|death cab for cutie: 0.0791|barenaked ladies: 0.0761|beck: 0.0759|daft punk: 0.0756|tv on the radio: 0.0736
flo rida,t.i.: 0.2348|akon: 0.2028|the game: 0.1648|chris brown: 0.1601|lil wayne: 0.1587|50 cent: 0.157|chamillionaire: 0.1566|nelly: 0.1449|ludacris: 0.1447|lady gaga: 0.143
flogging molly,dropkick murphys: 0.2726|rancid: 0.1661|bad religion: 0.1332|nofx: 0.1321|anti-flag: 0.1268|the offspring: 0.1145|reel big fish: 0.1107|rise against: 0.1101|ramones: 0.1086|red hot chili peppers: 0.1075
flying lotus,j dilla: 0.252|madlib: 0.201|burial: 0.189|prefuse 73: 0.1824|dj shadow: 0.1175|mf doom: 0.1089|a tribe called quest: 0.1065|boards of canada: 0.1064|autechre: 0.104|common: 0.0966
flyleaf,paramore: 0.1545|breaking benjamin: 0.1427|evanescence: 0.131|skillet: 0.124|30 seconds to mars: 0.1213|linkin park: 0.1187|three days grace: 0.1163|avril lavigne: 0.1135|fall out boy: 0.1068|disturbed: 0.106
foals,bloc party: 0.1824|klaxons: 0.1814|late of the pier: 0.1712|the cribs: 0.1685|mgmt: 0.1637|vampire weekend: 0.1589|crystal castles: 0.1509|hot chip: 0.1443|tokyo police club: 0.136|the wombats: 0.1312
foo fighters,red hot chili peppers: 0.2525|nirvana: 0.2232|incubus: 0.2227|queens of the stone age: 0.2207|green day: 0.2204|audioslave: 0.2193|muse: 0.2126|coldplay: 0.2083|pearl jam: 0.2039|the killers: 0.198
fort minor,linkin park: 0.1758|papa roach: 0.1503|limp bizkit: 0.1471|eminem: 0.1298|timbaland: 0.12|50 cent: 0.112|kanye west: 0.1039|breaking benjamin: 0.1028|30 seconds to mars: 0.1021|hoobastank: 0.0989
four tet,aphex twin: 0.1859|boards of canada: 0.1843|the books: 0.1831|prefuse 73: 0.1391|bonobo: 0.1307|the cinematic orchestra: 0.1304|autechre: 0.1298|plaid: 0.1294|the album leaf: 0.1275|radiohead: 0.1239
frank sinatra,louis armstrong: 0.1789|ella fitzgerald: 0.1571|elvis presley: 0.1542|billie holiday: 0.1476|the beatles: 0.1439|nina simone: 0.1186|queen: 0.1181|ray charles: 0.1179|the rolling stones: 0.1098|bob dylan: 0.1038
frank zappa,king crimson: 0.2427|captain beefheart & his magic band: 0.2099|pink floyd: 0.1732|tom waits: 0.1432|genesis: 0.141|the beatles: 0.1336|camel: 0.1292|led zeppelin: 0.1287|jethro tull: 0.1287|david bowie: 0.1272
franz ferdinand,kaiser chiefs: 0.3021|arctic monkeys: 0.287|the killers: 0.2688|the strokes: 0.2362|coldplay: 0.2126|muse: 0.2115|the kooks: 0.2027|bloc party: 0.196|radiohead: 0.1941|the white stripes: 0.1914
